idade;total;M;F
0;0,00671;0,00611882;0,005007106
1;0,00044;0,000395604;0,00038769
2;0,0003;0,000293779;0,000232418
3;0,00021;0,000224972;0,00016904
4;0,00018;0,000180675;0,000146985
5;0,00017;0,000169794;0,00013349
6;0,00015;0,000159466;0,000123209
7;0,00014;0,00014711;0,000114301
8;0,00012;0,000126257;0,000103314
9;0,0001;9,94E-05;9,07E-05
10;0,00009;7,82E-05;8,09E-05
11;0,00009;8,18E-05;8,17E-05
12;0,000123937;0,000131374;0,00010195
13;0,000203906;0,000238388;0,000146004
14;0,000314395;0,000386484;0,000206107
15;0,000434242;0,00054387;0,000273519
16;0,0005462;0,000691914;0,000334987
17;0,000649785;0,000837579;0,000383031
18;0,000738871;0,000975084;0,000411489
19;0,000815124;0,001101631;0,000425414
20;0,000893878;0,001233426;0,000437151
21;0,00096935;0,001353991;0,000452065
22;0,001018317;0,001426709;0,000464101
23;0,001032469;0,001436885;0,000473714
24;0,001021137;0,001401276;0,000481985
25;0,00100138;0,001349376;0,000490876
26;0,000986971;0,001306403;0,000501233
27;0,000978494;0,001274138;0,000512991
28;0,000981837;0,00126308;0,000527105
29;0,000996567;0,0012707;0,000545301
30;0,001018739;0,001287365;0,000569824
31;0,001046362;0,001307513;0,000602086
32;0,001085718;0,001342121;0,000643309
33;0,001126781;0,001374212;0,000688075
34;0,001180012;0,001422106;0,000740462
35;0,001240632;0,001479212;0,000797216
36;0,001315076;0,001554422;0,000862541
37;0,001411655;0,00165849;0,000941903
38;0,001534862;0,001797349;0,001038357
39;0,001680665;0,001965503;0,001149267
40;0,001836616;0,002147596;0,00126552
41;0,002000101;0,002338551;0,001385927
42;0,002180079;0,002547311;0,00151777
43;0,002377202;0,00277333;0,001661723
44;0,002588268;0,00301373;0,001814769
45;0,002807708;0,003261974;0,001976514
46;0,003034019;0,00351963;0,002141675
47;0,003273919;0,003798239;0,002307206
48;0,003534311;0,004108192;0,002475058
49;0,003818902;0,004451747;0,002652822
50;0,004129263;0,004827979;0,002846222
51;0,00445933;0,005224304;0,003062029
52;0,004798757;0,005624182;0,003302859
53;0,005132146;0,006005079;0,00356558
54;0,005458167;0,006367425;0,003844438
55;0,005786933;0,006727365;0,004132477
56;0,006136144;0,007110842;0,004438301
57;0,006522248;0,007538504;0,004784016
58;0,006977963;0,008050749;0,00519703
59;0,007521882;0,008667559;0,005691739
60;0,008173837;0,009404517;0,006292336
61;0,008902109;0,01022306;0,006962909
62;0,009651732;0,01106866;0,007638091
63;0,01034652;0,01185891;0,00824665
64;0,01098551;0,01259161;0,008801308
65;0,01165449;0,0133644;0,009395916
66;0,01165449;0,0133644;0,009395916
67;0,01165449;0,0133644;0,009395916
68;0,01165449;0,0133644;0,009395916
69;0,01165449;0,0133644;0,009395916
70;0,01601;0,01825;0,01365
71;0,01601;0,01825;0,01365
72;0,01601;0,01825;0,01365
73;0,01601;0,01825;0,01365
74;0,01601;0,01825;0,01365
75;0,02315;0,02577;0,02102
76;0,02315;0,02577;0,02102
77;0,02315;0,02577;0,02102
78;0,02315;0,02577;0,02102
79;0,02315;0,02577;0,02102
80;0,03069;0,03257;0,03017
81;0,03069;0,03257;0,03017
82;0,03069;0,03257;0,03017
83;0,03069;0,03257;0,03017
84;0,03069;0,03257;0,03017
85;0,03473;0,03406;0,03736
86;0,03473;0,03406;0,03736
87;0,03473;0,03406;0,03736
88;0,03473;0,03406;0,03736
89;0,03473;0,03406;0,03736
90;0,03044;0,02627;0,03607
91;0,03044;0,02627;0,03607
92;0,03044;0,02627;0,03607
93;0,03044;0,02627;0,03607
94;0,03044;0,02627;0,03607
95;0,01784;0,01262;0,02312
96;0,01784;0,01262;0,02312
97;0,01784;0,01262;0,02312
98;0,01784;0,01262;0,02312
99;0,01784;0,01262;0,02312
100;0,01737;0,00804;0,02373
